date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:33:54	535208/535208	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Aug%202020%2009:33:54%20GMT	https://rm6545.wixsite.com/sols	E:/pdc_web_dl/tailor-sols/tailor-sols/rm6545.wixsite.com/sols.html	(from )
17:33:55	201/201	---M--	200	added ('OK')	text/plain	etag:W/%22c9-fPhna5f2Wf3Q8vo5B48mI7Y0z7w%22	https://rm6545.wixsite.com/robots.txt		(from )
17:33:55	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2014%20Aug%202020%2009:33:56%20GMT	https://rm6545.wixsite.com/sitemap.xml	E:/pdc_web_dl/tailor-sols/tailor-sols/rm6545.wixsite.com/sitemap.xml	(from https://rm6545.wixsite.com/sols)
17:33:55	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2014%20Aug%202020%2009:33:56%20GMT	https://rm6545.wixsite.com/feed.xml	E:/pdc_web_dl/tailor-sols/tailor-sols/rm6545.wixsite.com/feed.xml	(from https://rm6545.wixsite.com/sols)
17:33:56	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2014%20Aug%202020%2009:33:56%20GMT	https://rm6545.wixsite.com/POST	E:/pdc_web_dl/tailor-sols/tailor-sols/rm6545.wixsite.com/POST	(from https://rm6545.wixsite.com/sols)
17:33:56	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2014%20Aug%202020%2009:33:57%20GMT	https://rm6545.wixsite.com/	E:/pdc_web_dl/tailor-sols/tailor-sols/rm6545.wixsite.com/index.html	(from https://rm6545.wixsite.com/sols)
17:33:56	72170/72170	---M-Z	200	added ('OK')	application/javascript	etag:%22c9af8a10b26de38db0c63a58fa9596f7%22	https://browser.sentry-cdn.com/4.6.2/bundle.min.js	E:/pdc_web_dl/tailor-sols/tailor-sols/browser.sentry-cdn.com/4.6.2/bundle.min.js	(from https://rm6545.wixsite.com/sols)
17:33:57	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	E:/pdc_web_dl/tailor-sols/tailor-sols/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://rm6545.wixsite.com/sols)
17:33:57	14805/14805	---M-Z	200	added ('OK')	application/javascript	etag:W/%22456c02ee2a496580a24e5aee614ba9b3%22	https://static.parastorage.com/unpkg/whatwg-fetch@3.0.0/dist/fetch.umd.js	E:/pdc_web_dl/tailor-sols/tailor-sols/static.parastorage.com/unpkg/whatwg-fetch@3.0.0/dist/fetch.umd.js	(from https://rm6545.wixsite.com/sols)
17:33:57	104998/104998	---M-Z	200	added ('OK')	application/javascript	etag:W/%22949ba62b42721d4404624a148729bcd1%22	https://static.parastorage.com/services/wix-bolt/1.6488.0/bolt-main/app/bolt-custom-elements.min.js	E:/pdc_web_dl/tailor-sols/tailor-sols/static.parastorage.com/services/wix-bolt/1.6488.0/bolt-main/app/bolt-custom-elements.min.js	(from https://rm6545.wixsite.com/sols)
